2026-02-13 02:22:42,461 - INFO - ================================================================================
2026-02-13 02:22:42,461 - INFO - Perturbation method and options c1_coat
2026-02-13 02:22:42,461 - INFO - ================================================================================
2026-02-13 02:22:42,461 - INFO - Starting perturbation process at 20260213_022242
2026-02-13 02:22:42,461 - INFO - Model Name: resnet50
2026-02-13 02:22:42,461 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 02:22:42,461 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 02:22:42,461 - INFO - Batch Size: 32
2026-02-13 02:22:42,465 - INFO - Collected 2112 images for analysis.
2026-02-13 02:23:10,709 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 02:23:10,709 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 02:23:10,754 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 02:23:10,754 - INFO - Custom layers to perturb set: ['maxpool', 'layer1.0.conv1', 'layer2.0.conv2', 'layer3.0.downsample.0', 'layer4.2.conv3']
2026-02-13 02:23:11,181 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,181 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,193 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,193 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,205 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,205 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,217 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,217 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,229 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,229 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,241 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,241 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,253 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,253 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,265 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,265 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,277 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
